bow_style,number,match_score,match_allowance,set_score,set_allowance
barebow,0,150,1290,30,258
barebow,1,150,1290,30,258
barebow,2,150,1290,30,258
barebow,3,150,1290,30,258
barebow,4,150,1290,30,258
barebow,5,150,1290,30,258
barebow,6,150,1290,30,258
barebow,7,150,1290,30,258
barebow,8,150,1290,30,258
barebow,9,150,1290,30,258
barebow,10,150,1290,30,258
barebow,11,149,1291,30,258
barebow,12,149,1291,30,258
barebow,13,149,1291,30,258
barebow,14,149,1291,30,258
barebow,15,149,1291,30,258
barebow,16,149,1291,30,258
barebow,17,149,1291,30,258
barebow,18,148,1292,30,258
barebow,19,148,1292,30,258
barebow,20,148,1292,30,258
barebow,21,148,1292,30,258
barebow,22,147,1293,29,258
barebow,23,147,1293,29,258
barebow,24,147,1293,29,258
barebow,25,146,1294,29,258
barebow,26,146,1294,29,258
barebow,27,145,1295,29,259
barebow,28,145,1295,29,259
barebow,29,145,1295,29,259
barebow,30,144,1296,29,259
barebow,31,144,1296,29,259
barebow,32,143,1297,29,259
barebow,33,143,1297,29,259
barebow,34,142,1298,28,259
barebow,35,141,1299,28,259
barebow,36,141,1299,28,259
barebow,37,140,1300,28,260
barebow,38,140,1300,28,260
barebow,39,139,1301,28,260
barebow,40,138,1302,28,260
barebow,41,138,1302,28,260
barebow,42,137,1303,27,260
barebow,43,136,1304,27,260
barebow,44,135,1305,27,261
barebow,45,134,1306,27,261
barebow,46,134,1306,27,261
barebow,47,133,1307,27,261
barebow,48,132,1308,26,261
barebow,49,131,1309,26,261
barebow,50,130,1310,26,262
barebow,51,129,1311,26,262
barebow,52,128,1312,26,262
barebow,53,127,1313,25,262
barebow,54,125,1315,25,263
barebow,55,124,1316,25,263
barebow,56,123,1317,25,263
barebow,57,122,1318,24,263
barebow,58,120,1320,24,264
barebow,59,119,1321,24,264
barebow,60,118,1322,24,264
barebow,61,116,1324,23,264
barebow,62,115,1325,23,265
barebow,63,113,1327,23,265
barebow,64,111,1329,22,265
